"ID","name","category","type","group","retweet"
"n0","1pissedoffmom1","Anti-vaxxer","individual","Leader",23
"n1","Alec_Zeck","Anti-vaxxer","individual","Leader",31
"n2","AliBeckZeck","Anti-vaxxer","individual","Leader",24
"n3","and_kell","Anti-vaxxer","individual","Leader",44
"n4","avoiceforchoice","Anti-vaxxer","organization","Leader",41
"n5","BardsFM","Anti-vaxxer","organization","Active",5
"n6","Believe_Mothers","Anti-vaxxer","organization","Leader",9
"n7","BusyDrT","Anti-vaxxer","individual","Leader",61
"n8","CaliVaxChoice","Anti-vaxxer","organization","Leader",27
"n9","CasparKashkin","Anti-vaxxer","individual","Leader",28
"n10","ceestave","Anti-vaxxer","individual","Leader",7
"n11","Chena_Punim","Anti-vaxxer","individual","Leader",21
"n12","ChildrensHD","Anti-vaxxer","organization","Leader",66
"n13","childrensmarch4","Anti-vaxxer","individual","Passive",0
"n14","chris_moyler","Anti-vaxxer","individual","Passive",1
"n15","circleofmamas","Anti-vaxxer","organization","Leader",11
"n16","Crazymothers1","Anti-vaxxer","organization","Active",7
"n17","dad_liams","Anti-vaxxer","individual","Leader",19
"n18","davebrooker322","Anti-vaxxer","individual","Leader",7
"n19","debnantz","Anti-vaxxer","individual","Leader",35
"n20","delbigtree","Anti-vaxxer","individual","Active",60
"n21","DemocratFed","Anti-vaxxer","individual","Leader",49
"n22","DrKND","Anti-vaxxer","individual","Leader",47
"n23","DrTessaT","Anti-vaxxer","individual","Leader",40
"n24","EpigeneticWhisp","Anti-vaxxer","organization","Leader",44
"n25","EVaccines","Anti-vaxxer","organization","Passive",0
"n26","exvaxxxer","Anti-vaxxer","individual","Leader",8
"n27","flick4freedom","Anti-vaxxer","individual","Leader",7
"n28","GAVaccineChoice","Anti-vaxxer","organization","Leader",11
"n29","HealthyNews2day","Anti-vaxxer","organization","Active",7
"n30","HFIdaho","Anti-vaxxer","organization","Passive",1
"n31","HighWireTalk","Anti-vaxxer","organization","Leader",71
"n32","Hollysstory1","Anti-vaxxer","individual","Passive",2
"n33","HPVSideEffects","Anti-vaxxer","organization","Leader",6
"n34","ICANdecide","Anti-vaxxer","organization","Active",36
"n35","InsideVaccines","Anti-vaxxer","organization","Leader",33
"n36","JeffereyJaxen","Anti-vaxxer","individual","Leader",52
"n37","Juanita87722370","Anti-vaxxer","individual","Leader",5
"n38","Just4TheCause","Anti-vaxxer","individual","Leader",24
"n39","justiceforevee","Anti-vaxxer","individual","Leader",48
"n40","kuriousmind93","Anti-vaxxer","individual","Leader",13
"n41","LeahDurantLaw","Anti-vaxxer","individual","Passive",0
"n42","learntherisk","Anti-vaxxer","organization","Active",11
"n43","Lex55747486","Anti-vaxxer","individual","Leader",4
"n44","LotusOak2","Anti-vaxxer","organization","Active",65
"n45","MaineVaxChoice","Anti-vaxxer","organization","Active",3
"n46","MarkVaccines","Anti-vaxxer","individual","Leader",4
"n47","MaryamHenein","Anti-vaxxer","individual","Leader",37
"n48","MaryJo__Perry","Anti-vaxxer","individual","Leader",5
"n49","Marzo_luna_","Anti-vaxxer","individual","Passive",1
"n50","med1cinewoman","Anti-vaxxer","individual","Leader",34
"n51","melishadooley","Anti-vaxxer","individual","Passive",1
"n52","MelissaRaeToro1","Anti-vaxxer","individual","Passive",2
"n53","MI4VaxChoice","Anti-vaxxer","organization","Passive",2
"n54","nocompulsoryvac","Anti-vaxxer","organization","Leader",30
"n55","Novaccineforce","Anti-vaxxer","organization","Leader",15
