from,to,weight
1pissedoffmom1,Alec_Zeck,1
1pissedoffmom1,and_kell,1
1pissedoffmom1,avoiceforchoice,1
1pissedoffmom1,BardsFM,1
1pissedoffmom1,Believe_Mothers,1
1pissedoffmom1,BusyDrT,1
1pissedoffmom1,ceestave,1
1pissedoffmom1,Chena_Punim,1
1pissedoffmom1,chris_moyler,1
1pissedoffmom1,circleofmamas,1
1pissedoffmom1,davebrooker322,1
1pissedoffmom1,debnantz,1
1pissedoffmom1,delbigtree,1
1pissedoffmom1,DemocratFed,1
1pissedoffmom1,DrKND,1
1pissedoffmom1,DrTessaT,1
1pissedoffmom1,flick4freedom,1
1pissedoffmom1,HFIdaho,1
1pissedoffmom1,HighWireTalk,1
1pissedoffmom1,Hollysstory1,1
1pissedoffmom1,HPVSideEffects,1
1pissedoffmom1,ICANdecide,1
1pissedoffmom1,InsideVaccines,1
1pissedoffmom1,Juanita87722370,1
1pissedoffmom1,Just4TheCause,1
1pissedoffmom1,LeahDurantLaw,1
1pissedoffmom1,Lex55747486,1
1pissedoffmom1,MaineVaxChoice,1
1pissedoffmom1,MarkVaccines,1
1pissedoffmom1,Marzo_luna_,1
1pissedoffmom1,MI4VaxChoice,1
1pissedoffmom1,nocompulsoryvac,1
1pissedoffmom1,Nurse4freedom,1
1pissedoffmom1,picphysicians,1
1pissedoffmom1,PlumRemson,1
1pissedoffmom1,RJM20,1
1pissedoffmom1,RobertKennedyJr,1
1pissedoffmom1,SadakaAssoc,1
1pissedoffmom1,sallyKP,1
1pissedoffmom1,science_cited,1
1pissedoffmom1,stevescrutton,1
1pissedoffmom1,US4MF,1
1pissedoffmom1,VaccineInjury,1
1pissedoffmom1,VaccineReaction,1
1pissedoffmom1,vaxreactions,1
1pissedoffmom1,vaxstudy,1
1pissedoffmom1,weaponizedword1,1
1pissedoffmom1,yattypat,1
1pissedoffmom1,yesmaam74,1
Alec_Zeck,AliBeckZeck,1
Alec_Zeck,and_kell,1
Alec_Zeck,Believe_Mothers,1
Alec_Zeck,delbigtree,1
Alec_Zeck,DrKND,1
Alec_Zeck,DrTessaT,1
Alec_Zeck,HFIdaho,1
Alec_Zeck,HPVSideEffects,1
Alec_Zeck,ICANdecide,1
Alec_Zeck,Juanita87722370,1
Alec_Zeck,Lex55747486,1
Alec_Zeck,Nurse4freedom,1
Alec_Zeck,PlumRemson,1
Alec_Zeck,Rebekah60291919,1
Alec_Zeck,VaccineResist,1
Alec_Zeck,SadakaAssoc,1
Alec_Zeck,sallyKP,1
Alec_Zeck,science_cited,1
Alec_Zeck,stevescrutton,1
Alec_Zeck,US4MF,1
AliBeckZeck,Alec_Zeck,1
AliBeckZeck,and_kell,1
AliBeckZeck,Believe_Mothers,1
AliBeckZeck,Crazymothers1,1
AliBeckZeck,davebrooker322,1
AliBeckZeck,debnantz,1
AliBeckZeck,DemocratFed,1
AliBeckZeck,DrKND,1
AliBeckZeck,DrTessaT,1
AliBeckZeck,HFIdaho,1
AliBeckZeck,ICANdecide,1
AliBeckZeck,InsideVaccines,1
AliBeckZeck,Juanita87722370,1
AliBeckZeck,learntherisk,1
AliBeckZeck,Lex55747486,1
AliBeckZeck,Marzo_luna_,1
AliBeckZeck,MI4VaxChoice,1
AliBeckZeck,nocompulsoryvac,1
AliBeckZeck,Nurse4freedom,1
AliBeckZeck,picphysicians,1
AliBeckZeck,PlumRemson,1
AliBeckZeck,Rebekah60291919,1
AliBeckZeck,VaccineResist,1
AliBeckZeck,RJM20,1
AliBeckZeck,RobertKennedyJr,1
AliBeckZeck,SadakaAssoc,1
AliBeckZeck,stevescrutton,1
AliBeckZeck,truthlovingdr,1
AliBeckZeck,UnitedForChoice,1
AliBeckZeck,US4MF,1
AliBeckZeck,wontfoolmetwice,1
and_kell,Alec_Zeck,1
and_kell,AliBeckZeck,1
and_kell,avoiceforchoice,1
and_kell,BardsFM,1
and_kell,Believe_Mothers,1
and_kell,CasparKashkin,1
and_kell,ceestave,1
and_kell,Chena_Punim,1
and_kell,davebrooker322,1
and_kell,debnantz,1
and_kell,delbigtree,1
and_kell,DemocratFed,1
and_kell,DrKND,1
and_kell,EpigeneticWhisp,1
and_kell,flick4freedom,1
and_kell,GAVaccineChoice,1
and_kell,HFIdaho,1
and_kell,HPVSideEffects,1
and_kell,ICANdecide,1
and_kell,InsideVaccines,1
and_kell,Juanita87722370,1
and_kell,Just4TheCause,1
and_kell,LeahDurantLaw,1
and_kell,Lex55747486,1
and_kell,MarkVaccines,1
and_kell,Marzo_luna_,1
and_kell,MelissaRaeToro1,1
and_kell,MI4VaxChoice,1
and_kell,nocompulsoryvac,1
and_kell,Novaccineforce,1
and_kell,Nurse4freedom,1
and_kell,Pamira_Bezmen,1
and_kell,picphysicians,1
and_kell,PlumRemson,1
and_kell,RebeccaChandle1,1
and_kell,RJM20,1
and_kell,RobertKennedyJr,1
and_kell,SadakaAssoc,1
and_kell,sallyKP,1
and_kell,tabbyday,1
and_kell,TN4VaxChoice,1
and_kell,truthlovingdr,1
and_kell,TTAVOfficial,1
and_kell,US4MF,1
and_kell,uTobian,1
and_kell,VaccineInjury,1
and_kell,vaccinepapers,1
and_kell,vaxreactions,1
and_kell,vaxstudy,1
