"thread_titles","thread_links","poster_ids","time","posts","category"
"What can I do for my husband?","https://www.medhelp.org/posts/Epilepsy/What-can-I-do-for-my-husband/show/3069564","momofboyandgirl","2022-02-23T21:32:06-05:00","My husband just had an episode that he has had multiple times throughout his life. Of the ones I have witnessed this one was different. He was sitting down reclined when he informed me he had feelings of déjà vu. I began watching and observing him. His head went down and his eyes rolled to the back of his head. He let out a groan and his arms straightened and fists clenched. His arms and head starting flailing. After about 2 minutes he was returning to his senses feeling very nauseous and dizzy. Prior to this evening he has been seen by a neurologist and all the scans and tests that he has been given have come back normal and they said unless it happened it front of them they didn’t know what to say. Is there anything that I can do to help him with this or is he just stuck having these for the rest of his life not knowing what’s going on?","question"
"What can I do for my husband?","https://www.medhelp.org/posts/Epilepsy/What-can-I-do-for-my-husband/show/3069564","BlueSky93","2022-03-04T10:04:22-05:00","Maybe record / document it, so that you can show it in a future appointment?","answer"
"What can I do for my husband?","https://www.medhelp.org/posts/Epilepsy/What-can-I-do-for-my-husband/show/3069564","Ally567","2023-06-04T22:41:47-04:00","Maybe try another Doctor? I tried several before I got the right dx and treatment.","answer"
"Does that seem like epilepsy ","https://www.medhelp.org/posts/Epilepsy/Does-that-seem-like-epilepsy/show/3075086","anxious09","2023-01-11T00:11:51-05:00","I will sleeping in the middle of a dream and either I was walking in my dream or being dizzy with everything going up and down . I woke up and I was sweating all over. No other symptoms I'm a 47 and recently diagnosed with a white matter lesions and all tests are negative  I don't know if this feeling actually happened or it was in my dream.","question"
"Does that seem like epilepsy ","https://www.medhelp.org/posts/Epilepsy/Does-that-seem-like-epilepsy/show/3075086","Ally567","2023-06-04T22:37:35-04:00","I have no medical knowledge at all. Sweating all over may be caused by among other things night sweats or hot flashes.","answer"
"Febrile Seizures for my 6 months old kid","https://www.medhelp.org/posts/Epilepsy/Febrile-Seizures-for-my-6-months-old-kid/show/3074072","anivdad","2022-11-07T11:51:06-05:00","Hi, my daughter got febrile Seizure 3 times within 24 hours. After a month, she got 2 episodes in 3 days gap. Doctors suggested to give Levipil 100ml syrup 1ml in morning and 1 ml in evening. She is not having further seizures in last 2 months now. Is it the correct medication? How much time we need to continue this medication? Any known side effects of Levipil for infants?","question"
"Keppra, rage, depression, anxiety, zero modivation","https://www.medhelp.org/posts/Epilepsy/Keppra-rage-depression-anxiety-zero-modivation/show/3064950","tracie46","2021-06-18T10:29:43-04:00","My son was dx with Seizures in October they started him on Keppra 3 tablets 750mg XR at 7pm.  My son was the most cheerful lovable respectful great student, all around the best child you would want to be around.  My son has turned into a ranging machine, he went from straight A's in school to failing, he has zero interest in getting out of bed, showering, eating all of the above.  my son is only 17 years old and never once did he ever have any type of anxiety depression sleep issues weight loss raging the feeling of just not caring how he looks.  I take him to one of the best doctors in this area hence the fact i drive 3 hours to get him to his appt.  I have reached out to his Neuro 5 times he keeps saying well lets see if we add the b6 it may level him out, this has done nothing i have finally decided to call the doctor back and we are now going to be taking him off the Keppra.  I am so scared of him taking a seizure, does anyone know if the side effects will get better with a smaller dose?  that is what my plan is rite now for him to lower the dose and see if his mental health gets better,  ANY SUGGESTIONS would greatly help me as i can relate with the doctor.  this is all so new to me and my son and i am so very lost, not to mention my son...…...I do not want to add medicine to a medicine that is making his mind mush.","question"
"Keppra, rage, depression, anxiety, zero modivation","https://www.medhelp.org/posts/Epilepsy/Keppra-rage-depression-anxiety-zero-modivation/show/3064950","Myztik25","2022-05-12T21:23:00-04:00","Saw this. I hope by now you have your answer. This side effects is actually called KepRage and if your son experienced this, he should be switched to another med. It sounds like he was. Sometimes lower doses arent enough to treat siezures so a second med is added. But id try another med to see if just 1 will help treat seizures","answer"
"Keppra, rage, depression, anxiety, zero modivation","https://www.medhelp.org/posts/Epilepsy/Keppra-rage-depression-anxiety-zero-modivation/show/3064950","SherriLeicester","2022-08-27T12:58:37-04:00","The same thing is happening to our 13yo. He was weaned off Keppra after two years and had a breakthrough seizure. Then he was put onto another anti seizure medication and had a severe allergic reaction to it. He has been on Keppra again exclusively for the past 8 months. His behavior is hard to describe. Before Keppra he was a happy, fun-loving, calm kid. Now he can only be described as disrespectful, disobedient, argumentative, rude and sometimes enraged. Hence ‘Keppra rage.’ He finally being weaned off Keppra and onto Vimpat. We pray that this is the answer. What happened to our silly, fun-loving, laid-back boy? Any idea that this is “just teenage hormones” is completely misguided. This is my fourth son and also fourth TEEN aged son. While each of them has had their moments, none of them has had this level of constant and consistent bad behavior.","answer"
"Keppra for IGE?","https://www.medhelp.org/posts/Epilepsy/Keppra-for-IGE/show/1685448","WonderingAboutThat","2012-02-19T18:04:11-05:00","My 15 year old son had his first seizure 18 months ago.  He has had 20 grand mals.  Recently switched from lamotrogine ( he was up tp 900 mg a day) now on keppra 2500 mg/day.  Has anyone had success with keppra for primary generalized seizures in monotherapy?Desperate for hope that this will end :)","question"
