from,to,weight
10queues,AVACNow,1
10queues,CEPIvaccines,2
10queues,epi_michael,1
AVACNow,DrTomFrieden,1
AVACNow,EdBelongia,1
AVACNow,ElsTorreele,1
AVACNow,GaviSeth,1
CCFCoalition,Craig_A_Spencer,20
CCFCoalition,DrJennersHouse,112
CCFCoalition,hic_vac,5
CCFCoalition,greenbergepi,1
CCFCoalition,HealthPolicyW,1
CEPIvaccines,10queues,2
CEPIvaccines,Craig_A_Spencer,7
CEPIvaccines,CurlyJungleJake,3
CEPIvaccines,DrCharlieWeller,1
CEPIvaccines,DrNancyM_CDC,1
CEPIvaccines,hic_vac,1
CEPIvaccines,DrTomFrieden,5
CEPIvaccines,ebirimobinna,2
CEPIvaccines,EdBelongia,3
CEPIvaccines,florian_krammer,3
CharlesShey,10queues,2
CharlesShey,AlecGaffney,30
CharlesShey,AVACNow,12
CharlesShey,Craig_A_Spencer,7
CharlesShey,DaraLieb,9
CharlesShey,Derya_,3
CharlesShey,DrJennersHouse,5
CharlesShey,HPVAction,1
CharlesShey,DrPaulOffit,30
CharlesShey,hic_vac,20
CharlesShey,DrTomFrieden,1
CharlesShey,ElsTorreele,14
CharlesShey,epi_michael,51
CharlesShey,EricTopol,36
CharlesShey,gavi,22
CharlesShey,GaviSeth,1
CharlesShey,harryetaylor,4
CharlesShey,HealthPolicyW,1
CharlesShey,HelenMatzger,23
CharlesShey,HHSvaccines,1
Craig_A_Spencer,CCFCoalition,1
Craig_A_Spencer,EricTopol,7
Craig_A_Spencer,HelenMatzger,4
CurlyJungleJake,CEPIvaccines,2
Derya_,Craig_A_Spencer,2
Derya_,DrCharlieWeller,2
Derya_,famfightflu,7
Derya_,harryetaylor,1
Derya_,HelenMatzger,2
DrJennersHouse,CCFCoalition,4
DrJennersHouse,Derya_,2
DrJennersHouse,famfightflu,1
DrNancyM_CDC,Craig_A_Spencer,2
DrNancyM_CDC,DrCharlieWeller,1
DrNancyM_CDC,DrTomFrieden,18
DrNancyM_CDC,HPVRoundtable,3
DrNancyM_CDC,florian_krammer,3
DrPaulOffit,AlecGaffney,2
DrPaulOffit,CharlesShey,3
DrPaulOffit,epi_michael,2
DrPaulOffit,EricTopol,15
DrPaulOffit,gavi,4
DrTomFrieden,CEPIvaccines,4
DrTomFrieden,Craig_A_Spencer,2
DrTomFrieden,Derya_,2
DrTomFrieden,DrNancyM_CDC,8
DrTomFrieden,ebirimobinna,1
DrTomFrieden,EdBelongia,3
DrTomFrieden,ElsTorreele,2
DrTomFrieden,famfightflu,1
DrTomFrieden,florian_krammer,1
ebirimobinna,AVACNow,1
ebirimobinna,DrPaulOffit,2
ebirimobinna,DrTomFrieden,1
ebirimobinna,EdBelongia,2
ebirimobinna,gavi,1
ebirimobinna,GaviSeth,1
EdBelongia,Immunize_USA,1
epi_michael,AlecGaffney,23
epi_michael,CCFCoalition,1
epi_michael,CharlesShey,2
epi_michael,Craig_A_Spencer,3
epi_michael,Derya_,3
epi_michael,DrJennersHouse,23
epi_michael,hic_vac,1
epi_michael,ElsTorreele,3
epi_michael,EricTopol,1
epi_michael,famfightflu,1
epi_michael,gavi,2
epi_michael,GaviSeth,1
epi_michael,greenbergepi,3
epi_michael,harryetaylor,3
epi_michael,HealthPolicyW,4
epi_michael,HelenMatzger,8
EricTopol,CharlesShey,2
EricTopol,Craig_A_Spencer,32
EricTopol,DrJennersHouse,2
EricTopol,DrPaulOffit,1
EricTopol,harryetaylor,2
EricTopol,HealthPolicyW,6
EricTopol,HelenMatzger,6
famfightflu,10queues,1
famfightflu,Derya_,2
famfightflu,DrCharlieWeller,1
famfightflu,DrJennersHouse,4
famfightflu,HPVAction,1
florian_krammer,Derya_,1
florian_krammer,DrCharlieWeller,1
florian_krammer,DrTomFrieden,2
florian_krammer,GaviSeth,1
g_debroucker,HPVAction,6
g_debroucker,gavi,1
GaviSeth,DaraLieb,6
GaviSeth,HealthPolicyW,3
greenbergepi,CCFCoalition,6
harryetaylor,Derya_,1
harryetaylor,HelenMatzger,2
HealthPolicyW,Craig_A_Spencer,9
HealthPolicyW,DrJennersHouse,45
HealthPolicyW,hic_vac,25
HealthPolicyW,ElsTorreele,15
HealthPolicyW,epi_michael,2
HealthPolicyW,EricTopol,20
HelenMatzger,harryetaylor,2
HHSvaccines,ImmunizeOrg,1
HHSvaccines,CharlesShey,4
