from,to,weight
10queues,gavi,1
10queues,VaccinesToday,1
AlecGaffney,EricTopol,1
AlecGaffney,jasonlschwartz,1
AlecGaffney,jonathanrockoff,1
AlecGaffney,MSF_access,1
AlecGaffney,NIAIDNews,1
AlecGaffney,NIHDirector,1
AlecGaffney,sarahdespres,1
AVACNow,CEPIvaccines,1
AVACNow,DaraLieb,1
AVACNow,DrNancyM_CDC,1
AVACNow,DrPaulOffit,1
AVACNow,DrTomFrieden,1
AVACNow,famfightflu,1
AVACNow,HHSvaccines,1
AVACNow,HPVRoundtable,1
AVACNow,Immunize_USA,1
AVACNow,ImmunizeOrg,1
AVACNow,IVACtweets,1
AVACNow,jasonlschwartz,1
AVACNow,lj_tan,1
AVACNow,mjmull,1
AVACNow,MSF_access,1
AVACNow,NMAtweets,1
AVACNow,NursesWhoVax,1
AVACNow,sabinvaccine,1
AVACNow,sarahdespres,1
AVACNow,ShotAtLife,1
AVACNow,ShotbyShotorg,1
AVACNow,UMCVD,1
AVACNow,VaccinateIN,1
AVACNow,vaccinenation,1
AVACNow,Vaccines,1
AVACNow,vaccines4life,1
AVACNow,VaccinesToday,1
AVACNow,Vaccinologist,1
AVACNow,VaxAmbassadors,1
AVACNow,VaxResources,1
AVACNow,Vaxyourfam,1
AVACNow,VaxYourFamily,1
AVACNow,Voices4Vaccines,1
CCFCoalition,jasonlschwartz,1
CCFCoalition,VaxYourFamily,1
CEPIvaccines,10queues,1
CEPIvaccines,DrCharlieWeller,1
CEPIvaccines,DrTomFrieden,1
CEPIvaccines,ebirimobinna,1
CEPIvaccines,ElsTorreele,1
CEPIvaccines,gavi,1
CEPIvaccines,GaviSeth,1
CEPIvaccines,HealthPolicyW,1
CEPIvaccines,HHSvaccines,1
CEPIvaccines,IVACtweets,1
CEPIvaccines,JennerInstitute,1
CEPIvaccines,jonathanrockoff,1
CEPIvaccines,mlipsitch,1
CEPIvaccines,mvankerkhove,1
CEPIvaccines,NIAIDNews,1
CEPIvaccines,NursesWhoVax,1
CEPIvaccines,PeterHotez,1
CEPIvaccines,ProfHeidiLarson,1
CEPIvaccines,sabinvaccine,1
CEPIvaccines,sanofipasteur,1
CEPIvaccines,sciencecohen,1
CEPIvaccines,ShotAtLife,1
CEPIvaccines,Vaccines,1
CEPIvaccines,VaccinesEurope,1
CEPIvaccines,VaccinesToday,1
CEPIvaccines,Vaccinologist,1
CEPIvaccines,vaninalala,1
CEPIvaccines,wellcometrust,1
CharlesShey,CEPIvaccines,1
CharlesShey,DrPaulOffit,1
CharlesShey,DrTomFrieden,1
CharlesShey,gavi,1
CharlesShey,GaviSeth,1
CharlesShey,HelenMatzger,1
CharlesShey,HHSvaccines,1
CharlesShey,HPVRoundtable,1
CharlesShey,IVACtweets,1
CharlesShey,MalariaVaccine,1
CharlesShey,michelzaffran,1
CharlesShey,MSF_access,1
CharlesShey,mvankerkhove,1
CharlesShey,NIHDirector,1
CharlesShey,noelTbrewer,1
CharlesShey,PeterHotez,1
CharlesShey,ProfHeidiLarson,1
CharlesShey,sabinvaccine,1
CharlesShey,sanofipasteur,1
CharlesShey,sciencecohen,1
CharlesShey,ShotAtLife,1
CharlesShey,ShotsHeard,1
CharlesShey,vaccine_trust,1
CharlesShey,Vaccines,1
CharlesShey,VaccineSafetyN,1
CharlesShey,VaccinesToday,1
CharlesShey,VaxResources,1
CharlesShey,wellcometrust,1
Craig_A_Spencer,DrNancyM_CDC,1
Craig_A_Spencer,DrTomFrieden,1
Craig_A_Spencer,ElsTorreele,1
Craig_A_Spencer,EricTopol,1
Craig_A_Spencer,florian_krammer,1
Craig_A_Spencer,GaviSeth,1
Craig_A_Spencer,michaelmina_lab,1
Craig_A_Spencer,mlipsitch,1
Craig_A_Spencer,MSF_access,1
Craig_A_Spencer,mvankerkhove,1
Craig_A_Spencer,NIAIDNews,1
Craig_A_Spencer,PeterHotez,1
Craig_A_Spencer,sciencecohen,1
CurlyJungleJake,florian_krammer,1
DaraLieb,AVACNow,1
DaraLieb,CEPIvaccines,1
DaraLieb,DrNancyM_CDC,1
DaraLieb,DrPaulOffit,1
DaraLieb,DrTomFrieden,1
DaraLieb,famfightflu,1
DaraLieb,HHSvaccines,1
DaraLieb,Immunize_USA,1
DaraLieb,ImmunizeOrg,1
DaraLieb,lj_tan,1
DaraLieb,MicrobesInfect,1
DaraLieb,NIAIDNews,1
DaraLieb,NIHDirector,1
DaraLieb,PeterHotez,1
DaraLieb,ProfHeidiLarson,1
DaraLieb,sabinvaccine,1
DaraLieb,sarahdespres,1
DaraLieb,vaccines4life,1
DaraLieb,Vaxyourfam,1
DaraLieb,VaxYourFamily,1
DaraLieb,wellcometrust,1
Derya_,10queues,1
Derya_,DrTomFrieden,1
Derya_,florian_krammer,1
Derya_,GaviSeth,1
Derya_,NIAIDNews,1
Derya_,NIHDirector,1
Derya_,PeterHotez,1
DrCharlieWeller,10queues,1
DrCharlieWeller,CEPIvaccines,1
DrCharlieWeller,ElsTorreele,1
DrCharlieWeller,gavi,1
DrCharlieWeller,GaviSeth,1
DrCharlieWeller,mlipsitch,1
DrCharlieWeller,mvankerkhove,1
DrCharlieWeller,PeterHotez,1
DrJennersHouse,CEPIvaccines,1
DrJennersHouse,DrCharlieWeller,1
DrJennersHouse,DrNancyM_CDC,1
DrJennersHouse,epi_michael,1
DrJennersHouse,florian_krammer,1
DrJennersHouse,gavi,1
DrJennersHouse,GaviSeth,1
DrJennersHouse,greenbergepi,1
DrJennersHouse,HelenMatzger,1
DrJennersHouse,HHSvaccines,1
DrJennersHouse,IVACtweets,1
DrJennersHouse,JennerInstitute,1
DrJennersHouse,michaelmina_lab,1
DrJennersHouse,michelzaffran,1
DrJennersHouse,mvankerkhove,1
DrJennersHouse,PeterHotez,1
DrJennersHouse,ProfHeidiLarson,1
DrJennersHouse,sabinvaccine,1
DrJennersHouse,ShotAtLife,1
DrJennersHouse,SJVanders,1
DrJennersHouse,TheInfluenzers,1
DrJennersHouse,UMCVD,1
DrJennersHouse,vaccine_trust,1
DrJennersHouse,vaccinemakers,1
DrJennersHouse,VaccineSafetyN,1
DrJennersHouse,VaccinesToday,1
DrJennersHouse,Vaccinologist,1
DrJennersHouse,Voices4Vaccines,1
DrJennersHouse,wellcometrust,1
DrNancyM_CDC,AVACNow,1
DrNancyM_CDC,DrPaulOffit,1
DrNancyM_CDC,DrTomFrieden,1
DrNancyM_CDC,famfightflu,1
DrNancyM_CDC,gavi,1
DrNancyM_CDC,HHSvaccines,1
DrNancyM_CDC,HPVRoundtable,1
DrNancyM_CDC,Immunize_USA,1
DrNancyM_CDC,ImmunizeOrg,1
DrNancyM_CDC,IVACtweets,1
DrNancyM_CDC,lj_tan,1
DrNancyM_CDC,NIAIDNews,1
DrNancyM_CDC,NIHDirector,1
DrNancyM_CDC,NMAtweets,1
DrNancyM_CDC,noelTbrewer,1
DrNancyM_CDC,NursesWhoVax,1
DrNancyM_CDC,sabinvaccine,1
DrNancyM_CDC,sanofipasteur,1
DrNancyM_CDC,ShotAtLife,1
