Source,Target,Weight
n0,n1,1
n0,n3,1
n0,n4,1
n0,n5,1
n0,n6,1
n0,n7,1
n0,n10,1
n0,n11,1
n0,n14,1
n0,n15,1
n0,n18,1
n0,n19,1
n0,n20,1
n0,n21,1
n0,n22,1
n0,n23,1
n0,n27,1
n0,n30,1
n0,n31,1
n0,n32,1
n0,n33,1
n0,n34,1
n0,n35,1
n0,n37,1
n0,n38,1
n0,n41,1
n0,n43,1
n0,n45,1
n0,n46,1
n0,n49,1
n0,n53,1
n0,n54,1
n0,n56,1
n0,n58,1
n0,n59,1
n0,n64,1
n0,n65,1
n0,n67,1
n0,n68,1
n0,n69,1
n0,n71,1
n0,n81,1
n0,n84,1
n0,n86,1
n0,n87,1
n0,n88,1
n0,n93,1
n0,n95,1
n0,n96,1
n1,n2,1
n1,n3,1
n1,n6,1
n1,n20,1
n1,n22,1
n1,n23,1
n1,n30,1
n1,n33,1
n1,n34,1
n1,n37,1
n1,n43,1
n1,n56,1
n1,n59,1
n1,n61,1
n1,n98,1
n1,n67,1
n1,n68,1
n1,n69,1
n1,n71,1
n1,n81,1
n2,n1,1
n2,n3,1
n2,n6,1
n2,n16,1
n2,n18,1
n2,n19,1
n2,n21,1
n2,n22,1
n2,n23,1
n2,n30,1
n2,n34,1
n2,n35,1
n2,n37,1
n2,n42,1
n2,n43,1
n2,n49,1
n2,n53,1
n2,n54,1
n2,n56,1
n2,n58,1
n2,n59,1
n2,n61,1
n2,n98,1
n2,n64,1
n2,n65,1
n2,n67,1
n2,n71,1
n2,n77,1
n2,n80,1
n2,n81,1
n2,n94,1
n3,n1,1
n3,n2,1
n3,n4,1
n3,n5,1
n3,n6,1
n3,n9,1
n3,n10,1
n3,n11,1
n3,n18,1
n3,n19,1
n3,n20,1
n3,n21,1
n3,n22,1
n3,n24,1
n3,n27,1
n3,n28,1
n3,n30,1
n3,n33,1
n3,n34,1
n3,n35,1
n3,n37,1
n3,n38,1
n3,n41,1
n3,n43,1
n3,n46,1
n3,n49,1
n3,n52,1
n3,n53,1
n3,n54,1
n3,n55,1
n3,n56,1
n3,n57,1
n3,n58,1
n3,n59,1
n3,n60,1
n3,n64,1
n3,n65,1
n3,n67,1
n3,n68,1
n3,n73,1
n3,n76,1
n3,n77,1
n3,n79,1
n3,n81,1
n3,n82,1
n3,n84,1
n3,n85,1
n3,n87,1
n3,n88,1
n3,n89,1
n3,n90,1
n3,n91,1
n3,n92,1
n3,n93,1
n3,n97,1
n4,n6,1
n4,n7,1
n4,n9,1
n4,n11,1
n4,n18,1
n4,n19,1
n4,n21,1
n4,n28,1
n4,n30,1
n4,n34,1
n4,n35,1
n4,n37,1
n4,n56,1
n4,n58,1
n4,n64,1
n4,n65,1
n4,n76,1
n4,n81,1
n4,n82,1
n4,n86,1
n4,n90,1
n4,n91,1
n4,n92,1
n4,n93,1
n4,n97,1
n5,n6,1
n5,n7,1
n5,n10,1
n5,n11,1
n5,n14,1
n5,n19,1
n5,n20,1
n5,n21,1
n5,n30,1
n5,n33,1
n5,n35,1
n5,n38,1
n5,n41,1
