Source,Target,Weight
n0,n0,2
n0,n5,5
n0,n8,4
n0,n10,3
n0,n29,1
n0,n33,2
n1,n0,5
n1,n1,7
n1,n2,1
n1,n5,2
n1,n6,6
n1,n8,55
n1,n10,1
n1,n12,2
n1,n16,2
n1,n17,8
n1,n19,1
n1,n21,2
n1,n23,6
n1,n24,14
n1,n25,29
n1,n31,2
n1,n34,2
n2,n0,10
n2,n1,1
n2,n2,1
n2,n3,2
n2,n4,1
n2,n5,8
n2,n8,1
n2,n16,1
n2,n17,4
n2,n18,1
n2,n19,6
n2,n23,11
n2,n25,5
n2,n26,1
n2,n29,2
n2,n33,1
n2,n34,1
n3,n3,78
n3,n8,1
n3,n16,2
n3,n24,1
n3,n25,3
n3,n30,3
n4,n4,2
n5,n5,1
n5,n12,1
n5,n25,1
n5,n33,2
n5,n34,1
n6,n0,1
n6,n5,1
n6,n6,4
n6,n7,1
n6,n8,1
n6,n10,2
n6,n11,1
n6,n12,1
n6,n16,2
n6,n23,3
n7,n1,1
n7,n7,1
n8,n1,4
n8,n4,1
n8,n5,2
n8,n8,6
n8,n11,1
n8,n15,1
n8,n16,4
n8,n17,2
n8,n19,3
n8,n23,2
n8,n25,10
n8,n30,2
n8,n33,1
n9,n0,7
n9,n1,7
n9,n2,14
n9,n3,3
n9,n4,2
n9,n36,3
n9,n6,3
n9,n8,12
n9,n9,1
n9,n11,1
n9,n12,1
n9,n13,2
n9,n16,10
n9,n17,9
n9,n19,11
n9,n21,1
n9,n22,3
n9,n23,8
n9,n24,4
n9,n25,10
n9,n28,1
n9,n30,11
n9,n31,7
n9,n33,8
n9,n34,2
n10,n6,1
n10,n22,1
n11,n11,10
n11,n17,1
n11,n34,1
n12,n0,20
n12,n1,7
n12,n36,5
n12,n5,51
n12,n6,25
n12,n8,4
n12,n10,16
n12,n11,3
n12,n12,5
n12,n15,1
n12,n16,1
n12,n17,10
n12,n22,3
n12,n23,18
n12,n24,10
n12,n31,1
n12,n33,12
n12,n34,9
n13,n3,1
n13,n13,25
n13,n17,1
n13,n19,1
n13,n25,1
n14,n5,5
n14,n16,1
n14,n24,1
n14,n25,4
n15,n0,1
n15,n1,29
n15,n2,3
n15,n6,3
n15,n8,4
n15,n10,9
n15,n12,1
n15,n15,53
n15,n17,2
n15,n19,4
n15,n21,2
n15,n22,1
n15,n24,12
n15,n34,2
n16,n16,3
n17,n0,4
n17,n5,2
n17,n6,1
n17,n7,1
n17,n8,1
n17,n16,2
n17,n17,1
n17,n19,1
n17,n22,1
n17,n25,1
n17,n26,4
n17,n31,1
n17,n34,1
n18,n0,1
n18,n1,2
n18,n2,21
n18,n5,4
n18,n8,3
n18,n23,7
n18,n34,1
n19,n1,4
n19,n2,2
n19,n6,1
n19,n8,6
n19,n16,2
n19,n17,2
n19,n19,7
n19,n23,1
n19,n24,1
n19,n25,5
n19,n30,1
n19,n33,1
n20,n0,2
n20,n5,2
n20,n6,2
n20,n8,4
n20,n10,25
n20,n12,1
n20,n15,6
n20,n17,7
n20,n19,1
n20,n20,10
n20,n23,1
n20,n24,2
n20,n25,2
n20,n31,1
n20,n33,14
n20,n34,1
n21,n17,1
n21,n26,1
n22,n0,4
n22,n2,1
n22,n5,2
n22,n6,3
n22,n8,3
n22,n12,5
n22,n16,1
n22,n17,18
n22,n19,19
n22,n21,23
n22,n22,3
n22,n23,3
n22,n25,3
n22,n26,1
n22,n29,2
n22,n34,13
n23,n5,3
n23,n8,3
n23,n16,2
n23,n17,1
n23,n24,1
n23,n25,1
n23,n30,1
n23,n34,1
n24,n8,1
n24,n9,1
n24,n15,1
n24,n16,3
n24,n19,1
n24,n21,1
n24,n24,7
n24,n25,9
n24,n26,1
n24,n34,1
n25,n3,1
n25,n25,1
n25,n33,1
n26,n25,1
n27,n25,1
n27,n26,1
n27,n27,7
n28,n0,5
n28,n1,5
n28,n8,1
n28,n10,1
n28,n11,1
n28,n17,2
n28,n31,2
n29,n15,2
n29,n23,1
n30,n9,4
n30,n16,12
n30,n26,1
n30,n30,1
n31,n0,2
n31,n1,2
n31,n2,2
n31,n6,1
n31,n12,6
n31,n17,1
n31,n24,1
n31,n25,5
n32,n0,3
n32,n8,5
n32,n17,7
n32,n23,7
n32,n29,7
n32,n32,1203
n32,n33,1
n32,n34,2
n33,n5,1
n33,n33,36
n34,n0,2
n34,n5,1
n34,n12,1
n34,n15,1
n34,n30,1
n34,n33,1
n34,n34,16
n35,n4,4
n35,n13,1
n35,n35,89
