Source,Target,Weight
n0,n23,1
n0,n87,1
n1,n19,1
n1,n37,1
n1,n39,1
n1,n48,1
n1,n50,1
n1,n52,1
n1,n65,1
n2,n4,1
n2,n8,1
n2,n12,1
n2,n13,1
n2,n14,1
n2,n20,1
n2,n29,1
n2,n32,1
n2,n33,1
n2,n34,1
n2,n36,1
n2,n37,1
n2,n40,1
n2,n46,1
n2,n48,1
n2,n53,1
n2,n56,1
n2,n62,1
n2,n65,1
n2,n67,1
n2,n68,1
n2,n76,1
n2,n78,1
n2,n82,1
n2,n83,1
n2,n84,1
n2,n87,1
n2,n89,1
n2,n91,1
n2,n92,1
n2,n93,1
n2,n94,1
n2,n96,1
n3,n37,1
n3,n94,1
n4,n0,1
n4,n10,1
n4,n14,1
n4,n15,1
n4,n17,1
n4,n23,1
n4,n24,1
n4,n27,1
n4,n29,1
n4,n36,1
n4,n38,1
n4,n39,1
n4,n47,1
n4,n49,1
n4,n50,1
n4,n56,1
n4,n58,1
n4,n60,1
n4,n62,1
n4,n64,1
n4,n66,1
n4,n67,1
n4,n83,1
n4,n86,1
n4,n87,1
n4,n89,1
n4,n90,1
n4,n98,1
n5,n4,1
n5,n13,1
n5,n14,1
n5,n23,1
n5,n24,1
n5,n28,1
n5,n29,1
n5,n32,1
n5,n36,1
n5,n42,1
n5,n44,1
n5,n48,1
n5,n49,1
n5,n52,1
n5,n54,1
n5,n58,1
n5,n60,1
n5,n62,1
n5,n64,1
n5,n66,1
n5,n67,1
n5,n69,1
n5,n79,1
n5,n83,1
n5,n85,1
n5,n87,1
n5,n92,1
n5,n98,1
n6,n12,1
n6,n14,1
n6,n17,1
n6,n19,1
n6,n21,1
n6,n24,1
n6,n43,1
n6,n47,1
n6,n48,1
n6,n49,1
n6,n50,1
n6,n58,1
n6,n66,1
n7,n21,1
n8,n2,1
n8,n4,1
n8,n12,1
n8,n13,1
n8,n14,1
n8,n20,1
n8,n29,1
n8,n33,1
n8,n34,1
n8,n40,1
n8,n45,1
n8,n50,1
n8,n52,1
n8,n58,1
n8,n60,1
n8,n62,1
n8,n65,1
n8,n84,1
n8,n93,1
n8,n94,1
n8,n98,1
n9,n0,1
n9,n14,1
n9,n21,1
n9,n24,1
n9,n50,1
n9,n52,1
n9,n58,1
n10,n0,1
n10,n4,1
n10,n17,1
n10,n23,1
n10,n24,1
n10,n47,1
n10,n49,1
n10,n58,1
n11,n4,1
n11,n10,1
n11,n12,1
n11,n18,1
n11,n21,1
n11,n23,1
n11,n24,1
n11,n25,1
n11,n28,1
n11,n29,1
n11,n36,1
n11,n38,1
n11,n43,1
n11,n44,1
n11,n49,1
n11,n58,1
n11,n60,1
n11,n62,1
n11,n67,1
n11,n70,1
n11,n74,1
n11,n76,1
n11,n79,1
n11,n81,1
n11,n85,1
n11,n87,1
n11,n89,1
n11,n96,1
n11,n98,1
n12,n2,1
n12,n13,1
n12,n14,1
n12,n20,1
n12,n23,1
n12,n29,1
n12,n32,1
n12,n33,1
n12,n34,1
n12,n36,1
n12,n40,1
n12,n50,1
n12,n52,1
n12,n53,1
n12,n54,1
n12,n56,1
n12,n62,1
n12,n64,1
n12,n67,1
n12,n68,1
n12,n78,1
n12,n85,1
n12,n87,1
n12,n91,1
n12,n92,1
n12,n93,1
n12,n94,1
n12,n96,1
n13,n12,1
n13,n19,1
n13,n20,1
n13,n23,1
n13,n34,1
n13,n37,1
n13,n40,1
n13,n53,1
n13,n56,1
n13,n67,1
n13,n71,1
n13,n87,1
n13,n93,1
n13,n94,1
n13,n96,1
n14,n4,1
n14,n6,1
n14,n13,1
n14,n19,1
n14,n21,1
n14,n23,1
n14,n24,1
n14,n47,1
n14,n49,1
n14,n66,1
n15,n23,1
n15,n24,1
n15,n36,1
n15,n62,1
n15,n67,1
n15,n83,1
n15,n87,1
n15,n96,1
n15,n97,1
n16,n0,1
n16,n4,1
n16,n6,1
n16,n12,1
n16,n14,1
n16,n19,1
n16,n21,1
n16,n23,1
n16,n24,1
n16,n43,1
n16,n47,1
n16,n49,1
n16,n50,1
n16,n57,1
n16,n62,1
n16,n66,1
n16,n74,1
n16,n89,1
n16,n98,1
n17,n1,1
n17,n4,1
n17,n6,1
n17,n10,1
n17,n13,1
n17,n14,1
n17,n19,1
n17,n23,1
n17,n24,1
n17,n27,1
n17,n47,1
n17,n48,1
n17,n49,1
n17,n52,1
n17,n58,1
n17,n62,1
n17,n66,1
n17,n70,1
n17,n89,1
n17,n98,1
n18,n4,1
n18,n11,1
n18,n14,1
n18,n21,1
n18,n23,1
n18,n24,1
n18,n25,1
n18,n36,1
n18,n47,1
n18,n54,1
n18,n60,1
n18,n62,1
n18,n86,1
n18,n87,1
n18,n89,1
n18,n98,1
n19,n6,1
n19,n14,1
n19,n21,1
n19,n39,1
n19,n43,1
n19,n52,1
n19,n58,1
n20,n2,1
n20,n4,1
n20,n12,1
n20,n13,1
n20,n23,1
n20,n24,1
n20,n25,1
n20,n29,1
n20,n32,1
n20,n33,1
n20,n34,1
n20,n35,1
