Source,Target,Weight
n0,n0,1
n0,n2,1
n0,n4,2
n0,n18,1
n1,n1,87
n2,n14,1
n2,n16,1
n2,n17,1
n2,n24,1
n3,n6,20
n3,n11,112
n3,n30,5
n3,n25,1
n3,n27,1
n4,n0,2
n4,n4,1
n4,n6,7
n4,n7,3
n4,n10,1
n4,n12,1
n4,n30,1
n4,n14,5
n4,n15,2
n4,n16,3
n4,n21,3
n5,n0,2
n5,n1,30
n5,n2,12
n5,n5,3
n5,n6,7
n5,n8,9
n5,n9,3
n5,n11,5
n5,n31,1
n5,n13,30
n5,n30,20
n5,n14,1
n5,n17,14
n5,n18,51
n5,n19,36
n5,n23,22
n5,n24,1
n5,n26,4
n5,n27,1
n5,n28,23
n5,n29,1
n6,n3,1
n6,n19,7
n6,n28,4
n7,n4,2
n8,n8,16
n9,n6,2
n9,n9,1
n9,n10,2
n9,n20,7
n9,n26,1
n9,n28,2
n10,n10,2
n11,n3,4
n11,n9,2
n11,n11,1
n11,n20,1
n12,n6,2
n12,n10,1
n12,n12,14
n12,n14,18
n12,n32,3
n12,n21,3
n13,n1,2
n13,n5,3
n13,n13,4
n13,n18,2
n13,n19,15
n13,n23,4
n14,n4,4
n14,n6,2
n14,n9,2
n14,n12,8
n14,n14,3
n14,n15,1
n14,n16,3
n14,n17,2
n14,n20,1
n14,n21,1
n15,n2,1
n15,n13,2
n15,n14,1
n15,n15,3
n15,n16,2
n15,n23,1
n15,n24,1
n16,n33,1
n17,n17,2
n18,n1,23
n18,n3,1
n18,n5,2
n18,n6,3
n18,n9,3
n18,n11,23
n18,n30,1
n18,n17,3
n18,n18,14
n18,n19,1
n18,n20,1
n18,n23,2
n18,n24,1
n18,n25,3
n18,n26,3
n18,n27,4
n18,n28,8
n19,n5,2
n19,n6,32
n19,n11,2
n19,n13,1
n19,n26,2
n19,n27,6
n19,n28,6
n20,n0,1
n20,n9,2
n20,n10,1
n20,n11,4
n20,n31,1
n21,n9,1
n21,n10,1
n21,n14,2
n21,n21,1
n21,n24,1
n22,n31,6
n22,n22,3
n22,n23,1
n23,n23,248
n24,n8,6
n24,n27,3
n25,n3,6
n26,n9,1
n26,n28,2
n27,n6,9
n27,n11,45
n27,n30,25
n27,n17,15
n27,n18,2
n27,n19,20
n27,n27,1
n28,n26,2
n29,n34,1
n29,n5,4
n29,n8,16
n29,n14,6
n29,n15,2
n29,n16,2
n29,n18,3
n29,n20,1
n29,n21,1
n29,n23,1
n29,n28,3
n29,n29,19
